contrast,estimate,SE,df,t.ratio,p.value,component
(Lean-Healthy) - (Obesity+T2DM),0.133298670566266,0.186075099379584,-8.08242361927114e-14,0.716370277434831,,MFPC8
(Lean-Healthy) - Sleeve,0.154121323940027,0.161610888507454,-8.08242361927114e-14,0.953656807183003,,MFPC8
(Lean-Healthy) - RYGBP,-0.117238572919313,0.16146376366074,-8.17124146124115e-14,-0.726098353347253,,MFPC8
Obesity - (Obesity+T2DM),0.185751406896192,0.133932937788036,244.999999999911,1.38689862228038,0.636662033274109,MFPC8
Obesity - Sleeve,0.206574060269952,0.192395538599102,-8.17124146124115e-14,1.07369464892008,,MFPC8
Obesity - RYGBP,-0.0647858365893878,0.192309106632247,-8.08242361927114e-14,-0.336883872656525,,MFPC8
(Obesity+T2DM) - Sleeve,0.0208226533737602,0.197316214137075,-8.08242361927114e-14,0.105529357862577,,MFPC8
(Obesity+T2DM) - RYGBP,-0.25053724348558,0.197231938545059,-8.08242361927114e-14,-1.27026710447478,,MFPC8
Sleeve - RYGBP,-0.27135989685934,0.187607126312425,-8.08242361927114e-14,-1.44642638151943,,MFPC8
(Lean-Healthy) - Obesity,0.0524795294263642,0.456339030380546,46330.2644841349,0.115001185374394,0.999960616396745,MFPC9
(Lean-Healthy) - (Obesity+T2DM),-0.0665576926000972,0.456339030380546,46330.2644841349,-0.145851413464665,0.999898487424259,MFPC9
(Lean-Healthy) - Sleeve,-0.306528099445327,0.456339030380535,46330.2644841349,-0.671711335297612,0.962504013029371,MFPC9
(Lean-Healthy) - RYGBP,0.249070960004948,0.456339030380535,46330.2644841349,0.545802448230762,0.982476894515972,MFPC9
Obesity - (Obesity+T2DM),-0.119037222026461,0.123058875297179,245.000000000074,-0.967319274932383,0.869584623761296,MFPC9
Obesity - Sleeve,-0.359007628871691,0.456339030380537,46330.2644841349,-0.786712520672005,0.93455745994506,MFPC9
Obesity - RYGBP,0.196591430578584,0.456339030380537,46330.2644841349,0.430801262856364,0.992839629334935,MFPC9
(Obesity+T2DM) - Sleeve,-0.23997040684523,0.456339030380537,46330.2644841349,-0.525859921832942,0.984752817067457,MFPC9
(Obesity+T2DM) - RYGBP,0.315628652605045,0.456339030380537,46330.2644841349,0.691653861695427,0.958362298651758,MFPC9
Sleeve - RYGBP,0.555599059450275,0.456339030380535,46330.2644841349,1.21751378352837,0.741199229768886,MFPC9
