Author,Reference,Number of Subjects, Cohort,Mean Body mass index (kg/m2),Deviation standard of BMI,Number of Female Subjects,Mean Age,Deviation standard of Age,Medical treatament protocol,Statiscal Analysis,Plasmatic enteropeptide reagents,Caloric protocol Do not use as a caloric test,Cohorts,Caloric test,Kcal of the Caloric test,TOTAL GHRELIN,Time,Pmol/L,,ACYLATED GHRELIN,Time,Pmol/L,,TOTAL GIP,Time,Pmol/L,,ACTIVE GIP,Time,Pmol/L,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,Pmol/L,,,PYY3-36,Time,Pmol/L,,,Insulin,Time,Pmol/L,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,No obesity-No T2DM Cohort,23.5,2.6,5,43.5,5.0,,Analysis of variance for repeated measurements was used for evaluations of changes over time and differences between groups. T-test was used for differences between groups at different time points. Pearson’s correlation coefficient was given when pairs of variables were related. The relationship between glucose. insulin and ghrelin 1 h following the meal was calculated as the percentage change from the last fasting values taken. Morning ghrelin values were transformed into logarithm before analysis and are presented as geometric means7s.d. Other measurements are reported as means7s.d. P<0.05 was considered as significant. The subjects came to our metabolic unit at the Samariterhemmet Hospital in the morning after overnight fasting and continued to fast until a standardized meal was given at 1300 hours. The meal consisted of 770 kcal (30% fat. 15–20% proteins and 50–55% carbohydrates). Blood samples were drawn at 0800. 1000 and 1200 hours and at 1300. 1330. 1400. 1430. 1500 and 1600 hours and were analysed for ghrelin. glucose and insulin.,Serum ghrelin levels were measured using a commercial radioimmunoassay (Phoenix Pharmaceuticals Inc.. Belmont. CA. USA). It employs 125I-labelled bioactive ghrelin as a tracer and a polyclonal antibody raised in rabbits against the full-length. octanoylated human ghrelin. Intra- and interassay coefficients of variance were 5.3 and 13.6%. respectively.29 Fasting plasma glucose was measured with routine clinical chemistry laboratory technique at the Department of Clinical Chemistry. University of Uppsala. Serum insulin was measured with an AutoDELFIA automatic immunoassay system (Wallac Inc.. Oy. Turku. Finland).,Meal test 770 Kcal ((30% fat. 15–20% proteins and 50–55% carbohydrates)),No obesity-No T2DM Cohort,Solid Mixed Meal Test,770 Kcal,,,,,ACYLATED GHRELIN,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulin,Time,Pmol/L,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,77.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15.60,,,,,,,0,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,86.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,51.72,,,,,,,15,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,84.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,91.92,,,,,,,30,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,80.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,154.14,,,,,,,60,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,90,76.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,176.16,,,,,,,90,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,120,74.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,159.90,,,,,,,120,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,150,74.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,122.58,,,,,,,150,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,180,74.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,93.00,,,,,,,180,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",12,No obesity-No T2DM Cohort,23.1,,,34.2,,,After 12 h fasting and abstinence from water since midnight the subjects arrived. using motorised transportation. at the Department of Clinical Physiology and Nuclear Medicine at around 8:30 a.m. Between 9:00 and 9:30 a standardised. solid test-meal. consisting of a sandwich of 135 g wheat bread with omelet as ®lling. with 200 ml tap water. was served. The 2.5 MJ meal consisted of 20 E% (percentage energy) protein. 50 E% carbohydrate and 30 E% fat. with an energy density of 9.0 kJag. To estimate the rate of gastric emptying approximately 60 Mbq of 99mTc-labeled sulfur colloid was added to the omelet immediately before cooking. Images were acquired for 120 s every 30 min during the following 3 h (for details see Verdich et al22). Blood samples were taken in the fasting state and 15. 30. 45. 60. 90. 120. 150 and 180 min after consumption of the test meal. Visual analogue scales (VAS) were used to assess appetite sensations in the fasting state. at half-hour intervals throughout the 3 h post test meal and after termination of the ad libitum meal.7 Three hours and 10 ± 15 min after the test meal the subjects were served an ad libitum lunch consisting of a homogeneous salad made from cold boiled pasta. sliced ham. cheese. red pepper. green peas and dressing. with an energy density of 7 kJag with 16.4 E% protein. 48.1 E% carbohydrate and 35.5 E% fat. The lunch was served in a separate room. The subjects were separated by screens so that they could not see each other. They were instructed not to speak to each other. A large bowl of pasta salad. a bottle of water. and an empty plate were placed in front of each subject. The subjects were instructed to drink as much as they wanted. to take as many helpings of the salad as they liked. and to stop eating when they felt pleasantly satiated. The subjects were fully aware of the purpose of the experiment. The computer database of foods from the National Food Agency of Denmark (Dankost 2.0. Danish Food Tables 1989) was used to calculate the energy and nutrient composition of the meals and diets. The overall 3 h gastric emptying rate was calculated separately for each subject by linear regression on the six repeated measures of percentage of initial gastric content (StatView SE GraphicsP). Anthropometrical measures. fasting concentrations. total and incremental area under curve (AUC(0-180)) for hormones and metabolites. measures of appetite and initial and 3 h emptying rates were compared by t-test for independent samples (lean vs obese) and paired t-test (obese before and after weight loss) (SPSS 8.0. 9.0 and 10.0 for Windows). Finally. the hypothesis that postprandial AUCtotal. GLP-1 increases gradually when overweight is reduced (obese `reduced obese `lean) was tested by the non-parametric Jonckheere ± Terpstra test. In this test it was not possible to take into account the fact that the obese and reduced obese were the same subjects. However. since the null-hypothesis (Ho) is that there is no difference between the two neighboring measurements this will increase the risk of a type II error. For all statistical tests the level of signi®cance was set to P `0.05.,Venous blood was drawn without stasis through an indwelling antecubital cannula into syringes (VasculetteI. Greiner Labortechnic). Samples to be analysed for non-esteri®ed fatty acids (NEFA). GIP and GLP-1 were taken into iced syringes and were kept on ice until centrifugation. Syringes contained EDTA K3asodium-¯uoride for glucose samples. and EDTA and NEFA. GIP and GLP-1 samples. No anti-coagulants were added to the syringe for insulin samples. All samples were centrifuged for 10 min at 2800 g at 4 C. The supernatant was transferred into plastic tubes and kept at720 C until analysis. This was performed within 30 ± 60 min. Plasma NEFA was quanti®ed by an enzymatic colorimetric method (Wako NEFA test kit. NEFA C. ACS-ACOD Method. code no. 994-75409 E). Plasma concentrations of glucose were determined by end point analysis with MPR3 Gluco-QuantI. Glucosea HK Kinetic 1442457 (Boehringer & Manheim GmbH) with the hexokinaseaG6P-DH method. analysed on a Cobas Mira (Rosche Diagnostic System). Serum concentration of insulin was determined on an Auto Del®a Fluriometer 1332 by direct immuno¯uorimetric sandwich technique with Auto DELFIA (TM) insulin kit B080-101 (Wallac Denmark AaS). Plasma GIP and GLP-1 concentrations were measured after extraction of plasma with 70% ethanol (volavol. ®nal concentration). For the GIP radioimmunoassay23 we used the C-terminally directed antiserum R65. which reacts fully with human GIP but not with the so-called GIP 8000. the chemical nature of which and its relationship to GIP secretion are uncertain. Human GIP and 125-I human GIP (70 MBqanmol) were used for standards and tracer. The plasma concentrations of GLP-1 were measured24 against standards of synthetic GLP-1 (7-36) amide using antiserum code no. 89390. which is speci®c for the amidated C-terminus of GLP-1 and therefore does not react with GLP-1-containing peptides from the pancreas. The results of the assay accurately re¯ect the rate of secretion of GLP-1 because the assay measures the sum of intact GLP-1 and the primary metabolite. GLP-1 (9-36) amide. into which GLP-1 is rapidly converted.25 For both assays sensitivity was below 1 pmolal. intra-assay coef®cient of variation was below 6% at 20 pmolal. and recovery of standard. added to plasma before extraction. was about 100% when corrected for losses inherent in the plasma extraction procedure. Determination of GLP-1 and GIP in blood samples was carried out in three separate runs over 15 months. For example. blood samples taken prior to the weight loss in obese subjects were analysed separately from the blood samples taken after the weight loss. In order to investigate the reproducibility between the two sets of results. we repeated analysis for GLP-1 in blood samples taken before the weight loss in 10 obese subjects together with blood samples taken after the weight loss. The values from the second analysis were not signi®cantly lower than values from the ®rst analysis ((P 0.11). in a two-factor repeated measurement ANOVA).,Between 9:00 and 9:30 a standardised. solid test-meal. consisting of a sandwich of 135 g wheat bread with omelet as ®lling. with 200 ml tap water. was served. The 2.5 MJ meal consisted of 20 E% (percentage energy) protein. 50 E% carbohydrate and 30 E% fat. with an energy density of 9.0 kJag.,No obesity-No T2DM Cohort,Solid Mixed Meal Test,598 Kcal,,,,,,,,,TOTAL GIP,Time,Pmol/L,,,,,,TOTAL GLP-1,Time,Pmol/L,,,,,,,,,,,,,,,,Insulin,Time,Pmol/L,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,6.47,,,,,,,0,11.96,,,,,,,,,,,,,,,,,0,35.63,,,,,,,0,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,18.49,,,,,,,15,15.50,,,,,,,,,,,,,,,,,15,61.83,,,,,,,15,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30,54.36,,,,,,,30,20.68,,,,,,,,,,,,,,,,,30,191.69,,,,,,,30,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,60,82.84,,,,,,,60,23.68,,,,,,,,,,,,,,,,,60,172.79,,,,,,,60,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,90,83.69,,,,,,,90,23.42,,,,,,,,,,,,,,,,,90,153.89,,,,,,,90,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
