rho,stratum,xi1,xi2,xi3,xi4
0.3,LEAN,2.45743937193639,4.45494169448004,6.32315723469194,1.41642342195196
0.3,OB,7.06485507940117,-16.843498253355,-0.844366243129944,2.23025546711918
0.3,OB+T2DM,11.7853085805908,0.604756804790909,12.4907437864297,-1.59013032192634
0.3,POST-CR,-1.4099803606437,4.34627519960851,-6.43652774003286,3.35262273958035
0.3,POST-RYGBP,-32.0836703535875,-7.19334899363808,7.34795877963086,-0.461745649894919
0.3,POST-SG,2.94557611463775,-14.5380427863547,-6.46814415638312,-3.7308656933007
0.3,PRE-RYGBP,-4.19261232952669,11.1627468916714,-6.30953326321253,-2.93718211382714
0.5,LEAN,2.52494665518474,4.33732901356134,-6.37703530714745,1.53372702226192
0.5,OB,7.06645880040785,-16.7388005050469,1.48897193574949,2.24525986246441
0.5,OB+T2DM,12.147737940817,0.347954369443133,-12.2921668759663,-1.59951873324869
0.5,POST-CR,-1.70051449351167,4.55978585279204,6.56376484365953,3.35510208773034
0.5,POST-RYGBP,-31.668983213501,-7.56179316317978,-8.06744508925393,-0.579332947651683
0.5,POST-SG,2.99275673125716,-14.4314757011076,6.68481969273958,-4.04369238492357
0.5,PRE-RYGBP,-4.51452662600752,11.2022236843112,5.99602115622004,-3.26029283007654
0.7,LEAN,2.66398722976063,4.06522600030603,6.55433427817657,1.85726990775597
0.7,OB,7.39269521769317,-16.5739833679252,-2.43863288869985,2.34258725662588
0.7,OB+T2DM,12.6960029395747,0.053988783247344,11.8679282612813,-1.2386088295289
0.7,POST-CR,-2.45968146209219,4.89065284754927,-6.73644624751361,3.3950025752962
0.7,POST-RYGBP,-30.9258056359517,-8.43806744257316,9.03677674403513,-0.671895800029526
0.7,POST-SG,3.11885586373329,-14.1298923315203,-7.2117184581642,-4.28803208480941
0.7,PRE-RYGBP,-5.0637805846526,11.3504529156777,-5.44754674651329,-3.34623435231155
