study,reference,N,cohort,BMI,BMI_sd,Nfem,age,age_sd,caloric_test,kcal,hormone,time_min,value,cohort_lvl1,cohort_lvl2
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Insulin,120,4114.5,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Insulin,150,2854.2,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Insulin,180,1632.84,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Glucose,0,3.64,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Glucose,15,4.12,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Glucose,30,5.86,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Glucose,60,6.85,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Glucose,90,5.91,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Glucose,120,5.25,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Glucose,150,4.5,Obesity,Obesity
Verdich 2001,"Verdich C, Toubro S, Buemann B, Lysgård Madsen J, Juul Holst J, Astrup A. The role of postprandial releases of insulin and incretin hormones in meal-induced satiety--effect of obesity and weight reduction. Int J Obes Relat Metab Disord. 2001 Aug;25(8):1206-14. doi: 10.1038/sj.ijo.0801655. PMID: 11477506.",19,Obesity,38.7,,,35,,Solid Mixed Meal Test,597,Glucose,180,3.32,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACYLATED GHRELIN,0,30.18,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACYLATED GHRELIN,15,26.1,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACYLATED GHRELIN,30,22.14,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACYLATED GHRELIN,60,16.21,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACYLATED GHRELIN,90,17.13,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACYLATED GHRELIN,120,19.51,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACYLATED GHRELIN,150,22.67,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACTIVE GLP-1,0,3,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACTIVE GLP-1,15,4.1,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACTIVE GLP-1,30,5.49,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACTIVE GLP-1,60,4.4,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACTIVE GLP-1,90,4.42,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACTIVE GLP-1,120,4.43,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,ACTIVE GLP-1,150,4.18,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,TOTAL PYY,0,11.59,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,TOTAL PYY,15,13.53,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,TOTAL PYY,30,15.28,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,TOTAL PYY,60,14.59,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,TOTAL PYY,90,14.87,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,TOTAL PYY,120,15.11,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,98,Obesity,36.8,4.1,54,42.4,9.8,Solid Mixed Meal Test,600,TOTAL PYY,150,14.76,Obesity,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,0,32.42,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,15,28.6,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,30,25.4,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,60,17.27,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,90,18.19,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,120,20.43,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,150,25.17,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACTIVE GLP-1,0,2,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACTIVE GLP-1,15,3.99,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACTIVE GLP-1,30,5.55,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACTIVE GLP-1,60,4.3,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACTIVE GLP-1,90,4.67,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACTIVE GLP-1,120,4.96,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,ACTIVE GLP-1,150,4.31,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,TOTAL PYY,0,13.78,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,TOTAL PYY,15,16.21,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,TOTAL PYY,30,18.35,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,TOTAL PYY,60,18.88,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,TOTAL PYY,90,18.77,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,TOTAL PYY,120,18.42,Obesity-I,Obesity
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,35,Obesity-I,32.9,1.4,17,43.2,9.9,Solid Mixed Meal Test,600,TOTAL PYY,150,17.68,Obesity-I,Obesity
Aukan 2022,"Aukan MI, Nymo S, Haagensli Ollestad K, Akersveen Boyesen G, DeBenedictis JN, Rehfeld JF, Coutinho S, Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.",44,Obesity  grade II Cohort,37.2,1.5,29,42.8,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,0,30.6,Obesity-II,Obesity
Aukan 2022,"Aukan MI, Nymo S, Haagensli Ollestad K, Akersveen Boyesen G, DeBenedictis JN, Rehfeld JF, Coutinho S, Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.",44,Obesity  grade II Cohort,37.2,1.5,29,42.8,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,15,25.88,Obesity-II,Obesity
Aukan 2022,"Aukan MI, Nymo S, Haagensli Ollestad K, Akersveen Boyesen G, DeBenedictis JN, Rehfeld JF, Coutinho S, Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.",44,Obesity  grade II Cohort,37.2,1.5,29,42.8,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,30,21.81,Obesity-II,Obesity
Aukan 2022,"Aukan MI, Nymo S, Haagensli Ollestad K, Akersveen Boyesen G, DeBenedictis JN, Rehfeld JF, Coutinho S, Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.",44,Obesity  grade II Cohort,37.2,1.5,29,42.8,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,60,16.43,Obesity-II,Obesity
Aukan 2022,"Aukan MI, Nymo S, Haagensli Ollestad K, Akersveen Boyesen G, DeBenedictis JN, Rehfeld JF, Coutinho S, Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.",44,Obesity  grade II Cohort,37.2,1.5,29,42.8,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,90,17.2,Obesity-II,Obesity
Aukan 2022,"Aukan MI, Nymo S, Haagensli Ollestad K, Akersveen Boyesen G, DeBenedictis JN, Rehfeld JF, Coutinho S, Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.",44,Obesity  grade II Cohort,37.2,1.5,29,42.8,9.9,Solid Mixed Meal Test,600,ACYLATED GHRELIN,120,19.51,Obesity-II,Obesity
